id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
173	drain	-1.0756	-0.5129	3	155	603	61	2020.623	13.2131	0.5636
174	drug delivery	0.4817	-0.1788	1	171	515	56	2016.2679	93.1429	2.4247
175	drug delivery system	0.1703	-0.4135	1	70	150	16	2020.75	40.375	1.7425
176	drug discovery	-0.3044	0.057	2	61	110	15	2015.8	17.2667	0.5974
177	dye	0.56	-0.1444	6	151	487	51	2015.8627	36.3137	1.1862
178	early diagnosis	-0.3673	0.201	2	191	512	44	2020.3864	29.5227	1.0679
179	early stage	-0.3062	-0.1548	2	101	168	17	2020.1176	18.8235	0.8354
180	ecl biosensor	0.9504	0.2064	6	90	282	24	2019.5417	39.1667	1.5007
181	eis	-0.5314	0.7153	5	205	971	80	2013.125	40.4	1.0522
182	eis sensor	-0.9789	0.8345	5	122	680	47	2017.766	14.3191	0.7478
183	eiscap	-1.2673	1.1466	5	55	362	38	2017.2368	13.8947	0.4581
184	electric charge	0.0892	-0.2802	2	51	118	13	2016.2308	44.0769	0.7494
185	electric field	-0.3716	-0.2233	3	185	491	42	2016.7619	24.619	0.6705
186	electrical biosensor	-0.4438	-0.0341	2	110	255	29	2015.8276	32.3448	0.866
187	electrical characteristic	-0.8891	-0.364	3	154	313	33	2016.9697	14.6364	0.5337
188	electrical characterization	-0.9232	-0.035	3	65	98	12	2017.25	32.25	0.9241
189	electrical conductivity	0.3757	-0.1398	1	138	412	34	2019.0294	23.2941	0.8736
190	electrical measurement	-0.2025	-0.5277	1	70	121	12	2018.9167	19.75	0.6025
191	electrical performance	-0.4425	-0.6145	3	105	206	25	2021.16	22.76	0.834
192	electrochemical	0.7799	0.1049	6	71	156	11	2014.2727	12.9091	0.4711
193	electrochemical device	0.3746	-0.4953	1	84	156	16	2021.1875	8.125	0.502
194	electrochemical impedance spectroscopy	-0.2789	0.402	5	165	432	40	2015.625	47.625	1.1411
195	electrochemical reaction	0.3822	-0.2001	1	74	135	13	2015.1538	137.0769	2.1976
196	electrochemiluminescence	0.9389	-0.0286	6	133	363	36	2019.5556	72.7222	2.0758
197	electrode surface	0.1949	0.5296	5	192	558	52	2012.5577	165.0769	1.6889
198	electrodeposition	0.1419	0.2049	5	65	141	15	2016.5333	46.4	0.9755
199	electrolyte	-0.3823	-0.4144	1	266	1166	128	2017.3594	40.5078	1.0761
200	electrolyte insulator semiconductor	-0.827	0.9404	5	197	945	77	2012.3506	30.1688	0.7777
201	electrolyte insulator semiconductor capacitor	-1.2994	1.2035	5	45	121	11	2018.4545	12	0.474
202	electrolyte solution	0.0173	-0.2899	6	73	122	12	2013.1667	42.5	1.1774
203	electrolyteinsulatorsemiconductor	-0.6904	1.0626	5	99	399	34	2010.5294	25.4118	0.6927
204	electron microscopy	-0.1773	0.7507	5	194	432	36	2017.0278	14.0556	0.4777
205	electron transfer	0.7174	0.1543	6	215	619	59	2015.1186	69.7627	1.6172
206	electrostatic interaction	-0.0977	1.2058	7	83	259	14	2014.6429	21.9286	0.4338
207	emission	0.9093	0.0052	6	220	893	93	2016.3011	34.9785	0.9401
208	emitter	0.9456	-0.3395	6	143	431	45	2018.7111	47.1111	1.0798
209	energy storage	1.059	-0.2333	1	84	219	17	2022.2941	50.5294	2.2218
210	energy transfer	1.0972	0.0495	6	125	463	46	2016.8478	50.2609	1.3958
211	enzymatic activity	-0.0205	0.5346	5	79	172	17	2013.9412	30.6471	0.6061
212	enzymatic biosensor	0.1364	-0.1453	1	96	203	16	2015.5625	36.625	0.9993
213	enzyme immobilization	-0.2182	0.9186	5	94	230	15	2014.8	29.6667	0.7061
214	ethanol	0.2302	0.7319	2	47	116	13	2017	16.3846	0.842
215	ethylene glycol	-0.1184	0.1513	2	45	99	11	2015.4545	50.5455	1.2958
216	ethylenedioxythiophene	0.0337	-0.3346	1	84	181	17	2021.7059	6.1765	0.7205
217	excellent selectivity	0.2161	0.3397	4	94	167	13	2019.7692	51.2308	1.7877
218	excellent sensitivity	0.1094	-0.0046	2	91	162	13	2022.3077	21.1538	1.2779
219	excitation	0.8896	-0.1223	6	172	495	55	2014.1455	39.1455	0.972
220	exciton	0.7802	-0.3173	6	66	175	15	2016.5333	18.4	0.3887
221	experimental data	-0.6121	-0.1855	3	108	223	27	2016.4815	15	0.509
222	extended gate field effect transistor	-0.7563	-0.1947	3	78	189	23	2015.8261	27.913	0.6178
223	fet biosensor	-0.6819	-0.097	2	235	1236	119	2018.958	35.7311	1.0994
224	fiber	0.3786	-0.3605	1	112	297	40	2020.025	9.725	0.3385
225	field effect biosensor	-1.0765	0.4269	5	107	379	38	2016.2105	22.7368	0.4902
226	field effect sensor	-1.0753	0.6883	5	98	301	24	2014.2083	32.375	0.7687
227	field effect transistor biosensor	-0.7444	0.0908	2	124	247	29	2018.2414	44.8276	1.3056
228	flexible electronic	0.0417	-0.4259	1	77	118	14	2019.2857	12.6429	0.5344
229	fluorescence microscopy	-0.367	0.552	5	84	136	15	2012.7333	36.7333	0.745
230	fluorescence resonance energy transfer	1.1078	-0.1749	6	63	118	11	2011.1818	238.7273	2.0905
231	fluorescent biosensor	0.7083	-0.04	6	64	202	20	2020.8	42.95	1.9178
232	fluorophore	0.5294	-0.3186	6	74	197	31	2017.5484	35.2903	0.9869
233	food	-0.1613	0.1596	2	120	342	45	2014.6222	27.9556	0.9062
234	food industry	-0.6178	0.458	5	71	145	10	2012.1	4.6	0.1359
235	food safety	0.06	-0.2892	2	106	187	24	2020.0833	42.125	1.5313
236	formaldehyde	0.5504	0.646	6	25	70	11	2010.4545	90.0909	2.7796
237	forster resonance energy transfer	1.1	-0.1175	6	76	228	25	2016.88	80.32	1.8849
238	fourier	0.378	0.5249	6	113	224	23	2014.6957	17.087	0.5096
239	free biosensor	-0.6028	-0.4061	3	77	122	15	2020.0667	23.3333	0.6171
240	fuel cell	0.3964	-0.6003	1	88	240	22	2016.6364	20.7273	0.5694
241	fundamental	0.6789	-0.7277	1	70	164	15	2019.2667	14.9333	1.1994
242	future development	0.7313	-0.3451	1	126	224	28	2016.5714	86.8571	2.1393
243	future perspective	0.7729	-0.3916	1	105	190	21	2022.1905	60.1905	3.951
244	future prospect	0.663	-0.0823	6	69	126	19	2019.2632	49.7368	1.9109
245	gallium nitride	-0.6102	-0.2063	3	67	122	18	2017.7778	19.4444	0.8598
246	gas sensor	0.4421	-0.1062	1	175	540	83	2016.8072	72.747	1.6215
247	gate electrode	-0.4872	-0.3964	3	209	581	54	2019.5741	27.037	0.9965
248	gate surface	-0.8356	0.5351	5	102	265	22	2013	69.2273	0.6072
249	gate voltage	-0.5616	-0.5898	1	126	302	31	2019.6452	17.2258	0.709
250	gel	0.2373	-0.0553	1	88	273	28	2013.8929	13.8929	0.4184
251	germanium	-0.1672	-0.6828	3	65	114	19	2018.8947	13.2632	0.6895
252	glass substrate	0.3605	0.4225	4	129	275	33	2014.6667	18.5455	0.5035
253	glassy carbon electrode	0.4093	0.6923	4	71	129	11	2017.8182	25.7273	0.6709
254	glucose	0.1826	0.5705	5	343	1812	173	2014.1098	32.3988	1.016
255	glucose biosensor	0.1059	0.9158	5	177	799	71	2016.0282	24.8028	0.6628
256	glucose concentration	-0.0416	0.1804	3	107	252	24	2014.5417	36.6667	1.2791
257	glucose oxidase	0.1267	0.7467	5	228	945	76	2012.9737	51.25	1.1705
258	glutaraldehyde	-0.4565	0.7156	5	113	194	19	2012.7895	19.6316	0.5418
259	gold	-0.2925	-0.0899	3	186	513	55	2014.9818	27.5636	0.7713
260	gold electrode	-0.1949	0.3657	2	93	217	20	2012.35	32.8	0.8739
261	gold nanoparticle	0.3231	0.3685	4	262	744	78	2017.8077	51.5256	1.2219
262	good biocompatibility	0.7004	-0.2623	6	78	113	15	2019.0667	69.5333	1.6938
263	good selectivity	0.4125	0.2923	4	121	214	19	2018.6842	35.7368	1.1221
264	good stability	0.3982	0.0264	1	110	185	16	2018.5625	17.3125	0.5423
265	graphene oxide	0.3818	0.2308	4	157	421	36	2020.6111	32.9444	1.2196
266	graphitic carbon nitride	0.8781	-0.12	4	78	197	13	2021.7692	34.9231	1.6155
267	graphyne	1.3296	1.0101	4	6	147	18	2013.6111	34.0556	0.9213
268	h2o2	0.8387	0.4536	4	169	600	47	2016.8936	50.8085	1.6027
269	health monitoring	-0.0755	-0.6666	1	90	205	21	2020	10.6667	0.6151
270	healthcare	-0.0818	-0.5678	1	158	284	35	2021.5714	72.9429	2.2843
271	heavy metal	0.8176	0.1329	6	59	119	12	2019.8333	46.4167	1.5661
272	hemoglobin	-0.1484	-0.5849	3	52	155	22	2014.7727	13.7727	0.3451
273	heterojunction	0.6859	0.0744	4	235	1134	103	2022.7864	20.8835	1.6406
274	heterostructure	0.7472	-0.174	4	221	951	97	2018.9794	37.3918	1.0821
275	hexylthiophene	0.0554	-0.4395	1	77	139	12	2018.75	20.8333	0.5593
276	hfo2	-0.9331	-0.2543	3	53	112	13	2019.9231	5.5385	0.8213
277	high carrier mobility	-0.1192	-0.5337	1	70	99	12	2021.5833	24.8333	0.9577
278	high density	-0.6582	0.4511	7	81	143	14	2019.2143	36.2143	1.8642
279	high k material	-1.1536	-0.5843	3	23	79	11	2022.3636	2.0909	0.2765
280	high surface area	0.5327	-0.2054	1	136	222	20	2018.9	18.15	1.0254
281	high temperature	0.4671	0.0126	1	97	196	15	2016.4667	13.4	1.0282
282	high throughput	-0.1319	-0.4045	1	52	80	11	2017.2727	37	1.3643
283	higher sensitivity	-0.6584	0.236	5	231	635	64	2017.5156	26.6562	0.8568
284	highest sensitivity	-0.3935	-0.0218	3	66	109	12	2019.9167	14.25	0.6356
285	horseradish peroxidase	0.53	0.4599	4	74	132	13	2016.6154	16.2308	0.57
286	human serum	-0.0532	0.4103	4	150	358	32	2020.3125	37	1.1983
287	hybrid	0.5956	0.1587	4	198	500	55	2017.2909	41.9455	1.2612
288	hybrid material	0.9424	-0.0874	1	115	352	32	2016.375	39.4062	1.112
289	hybrid structure	0.4563	0.4475	2	55	178	15	2017.4	27.4667	1.3418
290	hybrid system	0.749	0.1542	6	85	267	31	2011.2903	80.7419	1.0825
291	hybridization	-0.4147	0.0359	2	217	650	69	2013.4348	46.8841	0.9831
292	hydrogel	0.4025	-0.0312	6	106	405	50	2019.92	21.04	0.6706
293	hydrogen	0.282	0.6092	2	55	153	23	2011.7826	28.913	0.9557
294	hydrogen peroxide	1.0548	0.6075	4	133	404	34	2017.4706	26.1765	0.7983
295	ii vi semiconductor	1.4252	-1.1965	1	13	190	21	2023	7.4762	0.4788
296	imaging	0.5428	-0.3034	6	245	946	121	2017.4959	106.0413	2.458
297	immobilisation	-0.5858	0.4725	5	52	94	17	2008.0588	70.4118	1.8243
298	immobilization	-0.575	0.4695	5	395	2075	207	2015.43	45.7391	0.8861
299	immobilized enzyme	-0.3032	0.774	5	77	177	18	2001.2778	24.2778	0.7189
300	immunoassay	0.452	0.2293	4	139	332	37	2015	36.7838	1.3751
301	impedance	-0.648	-0.2224	2	123	289	41	2016.0976	48	1.0545
302	impedance biosensor	-0.7693	-0.2548	2	31	101	19	2020.6316	44.8421	1.1158
303	impedance spectroscopy	-0.1476	0.4128	5	79	222	27	2009.4074	398.4815	1.8423
304	impedimetric biosensor	-1.0211	-0.013	2	36	77	12	2013.9167	10.1667	0.2281
305	indium tin oxide	0.3438	0.2843	4	104	172	19	2018.8421	22.1579	0.6084
306	infection	-0.1439	-0.3055	2	108	231	24	2021.5417	7.75	0.5702
307	infectious disease	-0.6256	-0.0759	2	77	178	20	2021.5	23.2	0.9761
308	influenza	-0.8993	0.0138	2	102	298	33	2017.3939	43.303	1.184
309	innovation	0.0201	-0.484	1	183	430	45	2021.8222	13	0.8102
310	inorganic material	-0.0374	-0.2356	1	62	111	18	2014.5	16	0.5077
311	inorganic semiconductor	0.4445	-0.5413	1	136	269	29	2017.1379	143.6207	2.6808
312	instrumentation	-0.5325	-0.5006	3	103	344	37	2015.0811	25.1892	0.6753
313	insulator	-0.4388	-0.3271	3	202	520	47	2016.1277	23.9574	0.841
314	integrated biosensor	-0.1358	-0.3561	3	41	67	12	2005.9167	24.3333	0.9392
315	integrated circuit	-0.4171	-0.7198	3	173	447	55	2017.1273	32.0909	1.0158
316	intensity	0.558	-0.0644	6	232	875	103	2016.5825	31.4951	0.8926
317	intrinsic charge	-0.7437	-0.0704	2	63	147	10	2014.7	15.6	0.392
318	ion sensitive field effect transistor	-0.7737	-0.2198	3	123	309	44	2014.5909	25.0455	0.8509
319	ionic liquid	0.5899	-0.4537	1	64	134	12	2016.5	4	0.1583
320	ionic strength	-0.9614	0.7228	5	116	438	32	2015.9062	15.0625	0.3702
321	khz	-0.9132	-0.3597	2	59	191	16	2020.8125	6.6875	0.2575
