id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
228	natural polymer	-0.6639	-0.6643	2	89	374	25	2020.24	80.56	2.6607
229	nm riu	1.2672	0.6993	4	56	255	22	2019.9091	35.7727	1.3227
230	novel biosensor	0.2857	0.565	1	75	195	18	2019.3333	16.2778	0.5411
231	optical biosensor	0.9416	0.3606	4	119	351	35	2017.0857	43.4	0.7625
232	optical property	0.4055	-0.0606	4	151	454	34	2017.7647	23.1471	0.8484
233	organ	-0.6264	0.4601	1	205	1362	110	2018.6727	14.6273	0.9114
234	orientation	0.9006	-0.6151	3	159	1276	85	2012.1882	54.0471	1.0509
235	orthopedic	-0.9155	0.2276	1	74	253	19	2018.4211	23.3158	2.1916
236	pathogen	0.3643	0.7832	4	134	515	29	2018.5172	32.7586	1.3899
237	pdms	0.4047	-0.0347	3	94	303	23	2016.6522	27.913	0.8587
238	pedotpss	-0.3736	-0.9617	2	51	388	21	2020	27	0.6504
239	peg	0.8581	-0.483	3	125	833	43	2015.093	68.814	2.1746
240	peptide	-0.007	0.0251	3	243	4047	277	2016.4585	43.2202	1.2235
241	physical property	-0.1526	-0.5599	2	186	585	38	2017.1579	134.7105	3.505
242	physicochemical property	-0.6224	-0.3921	2	189	704	45	2019.8	39.1111	1.571
243	plasma	0.1566	-0.7824	3	157	1188	65	2012.6615	31.8769	0.9103
244	polyaniline	-0.7285	-0.6832	2	109	345	21	2018.5238	207.9524	5.0387
245	polymeric biomaterial	-0.9579	0.1943	1	98	680	49	2018.5102	20.9796	1.1049
246	polymerization	0.4692	-0.6257	3	162	925	60	2012.85	55.55	1.509
247	polypyrrole	-0.5941	-0.7265	2	128	451	28	2015.1429	178.7857	3.7824
248	polysaccharide	-0.2923	-0.4192	2	154	872	67	2019.9851	43.6716	1.6148
249	porosity	-0.5233	-0.2988	2	141	551	39	2018.9231	25.7436	1.1049
250	porous silicon	0.885	-0.4137	4	44	227	27	2010.0741	19.8519	0.6617
251	probe	0.619	0.2879	4	195	950	78	2016.4487	24.7692	1.0926
252	protein	0.2943	-0.3344	3	309	10428	837	2013.1565	50.5771	1.488
253	protein adsorption	0.6391	-0.9906	3	160	1651	109	2011.4128	61.6697	1.37
254	protocol	0.6217	-0.0976	5	141	691	66	2011.5152	27.1061	0.821
255	qcm	0.8222	-0.6498	3	77	309	19	2012.7368	46.5789	0.9616
256	quantum dot	0.1324	0.2788	4	144	538	37	2019	13.5135	0.6758
257	quartz crystal microbalance	0.8748	-0.7377	3	121	615	33	2013.3636	54.3333	0.9768
258	radiation	0.3419	0.6083	1	94	268	42	2014.9762	12.0714	0.4592
259	reaction	0.5737	0.2325	4	249	2051	154	2014.1429	46.5065	1.0084
260	real time monitoring	-0.0806	0.5561	1	131	449	37	2019.0541	22.3243	1.1693
261	receptor	0.413	0.3465	4	199	1325	87	2013.7931	29.6667	0.8325
262	reduction	0.3867	0.0055	5	218	1047	72	2014.5972	17.7778	0.5089
263	refractive index	1.199	0.4975	4	85	495	46	2017.913	28.6739	0.8909
264	regeneration	-0.7978	0.1136	1	213	1232	75	2019.2933	25.44	1.1172
265	regenerative medicine	-0.9309	0.1117	1	226	1946	118	2020.4661	22.8051	1.3456
266	reproducibility	0.4758	0.127	5	161	506	36	2016.0278	37.0833	1.5944
267	resilin	-1.0626	-1.0298	2	25	212	22	2016.0455	75.4091	3.9672
268	resistance	0.3924	-0.5395	3	212	1407	89	2011.7753	52.9888	1.2179
269	rgo	0.4654	-0.8925	5	70	335	21	2019.8095	31.5238	1.5316
270	rna	0.2152	0.7742	4	115	422	28	2015.1429	73.9643	1.3184
271	sars cov	0.2282	1.463	4	55	505	31	2022	10.9677	0.4376
272	scaffold	-0.7442	-0.3594	2	285	4973	286	2017.6573	36.3671	1.3206
273	selectivity	0.5746	0.4654	4	234	1830	112	2017.75	25.8482	1.1183
274	self assembly	-0.1367	-0.3325	2	196	1440	103	2017.3301	39.2524	1.5404
275	sensing	0.4249	0.4419	4	252	1969	150	2018.5133	25.8867	0.9484
276	sensitivity	0.7279	0.5834	4	299	5020	364	2017.511	26.1016	0.9909
277	sensor	0.4231	0.5389	4	316	6792	582	2015.1409	33.0773	1.1562
278	signal	0.4472	0.6595	4	254	2653	268	2013.4664	18.1716	0.573
279	significant attention	-0.5091	0.0231	2	136	388	26	2023	13.0385	0.8895
280	silica	-0.3049	-0.3009	5	120	544	41	2015.2439	49.9024	1.3665
281	silicon	0.7633	-0.1389	4	149	775	57	2012.6667	28.7193	0.6702
